Company_Name,ship_name,built_year,gt,dwt,length,width
MAERSK HANOI,Container Ship,2018,153773,178257,353,54
MSC SEASIDE,Passenger (Cruise) Ship,2017,153516,19209,323,41
MSC VALERIA,Container Ship,2012,153115,165966,366,51
COSRICH LAKE,Crude Oil Tanker,2012,152727,297336,330,60
EROS,Crude Oil Tanker,2000,152139,284170,330,60
GEMMA,Bulk Carrier,2012,151915,313049,330,57
HUGO N,Bulk Carrier,2011,151448,297088,327,55
CMA CGM ARCTIC,Container Ship,2022,150844,159614,366,51
MANARA,Passenger (Cruise) Ship,2017,150695,15370,335,44
MSC VIRGO,Container Ship,2020,149525,158097,366,48
THESEUS,Container Ship,2016,149210,153594,369,51
PACIFIC CORAL,Bulk Carrier,1995,148169,265278,324,56
YM WHOLESOME,Container Ship,2015,145324,145502,368,51
DIAMOND GAS ROSE,LNG Tanker,2018,144828,94145,294,49
ULSAN EXPRESS,Container Ship,2014,143262,142023,367,48
HYUNDAI PRIDE,Container Ship,2014,142620,145683,366,48
COSCO GLORY,Container Ship,2011,141823,140637,366,48
MAERSK ESSEN,Container Ship,2010,141716,148723,366,48
CELEBRITY BEYOND,Passenger (Cruise) Ship,2022,141420,13991,306,39
OOCL POLAND,Container Ship,2013,141003,144342,366,48
MARINER OF THE SEAS,Passenger (Cruise) Ship,2003,139863,9616,311,39
ONAIZA,LNG Tanker,2009,136980,121939,315,50
AL GHARRAFA,LNG Tanker,2008,136410,106898,315,50
BERGE ELBRUS,Bulk Carrier,2015,135472,250379,325,57
SERI CAMELLIA,LNG Tanker,2016,133948,84333,290,46
INDIGO HOPE,Bulk Carrier,2013,132508,251019,330,57
PETROBRAS-47,Offshore Support Vessel,1976,131242,260349,344,52
MARVEL EAGLE,LNG Tanker,2018,128917,83571,300,49
ENSHU MARU,LNG Tanker,2018,127088,83708,293,49
ALTO ACRUX,LNG Tanker,2008,122361,80229,288,49
LNG JUPITER,LNG Tanker,2009,121675,81950,290,49
ENERGY FRONTIER,LNG Tanker,2003,119393,73795,290,49
ELISA AQUILA,LNG Tanker,2022,118753,95131,297,47
YM TUTORIAL,Container Ship,2022,118523,136899,333,48
EVER FUTURE,Container Ship,2021,117340,127076,334,48
UMM AL ASHTAN,LNG Tanker,1997,116703,73100,290,48
CSCL SOUTH CHINA SEA,Container Ship,2014,116568,121185,335,49
COOL RACER,LNG Tanker,2021,116354,93423,299,46
VENTURA,Passenger (Cruise) Ship,2008,116017,8044,289,36
GASLOG GEORGETOWN,LNG Tanker,2020,115636,88184,293,46
BW ENN SNOW LOTUS,LNG Tanker,2022,115373,93980,295,46
PAN AFRICA,LNG Tanker,2019,114996,88438,290,47
BW PAVILIONARANTHERA,LNG Tanker,2020,114622,95788,295,46
SPIRIT OF HELA,LNG Tanker,2010,114277,87130,298,46
BEIDOU STAR,LNG Tanker,2015,114166,96355,290,47
EXPRESS ROME,Container Ship,2011,113973,122961,349,46
MARAN GAS ANDROS,LNG Tanker,2019,113793,94638,295,46
MACOMA,LNG Tanker,2017,113557,95253,295,46
NAVIOS UNISON,Container Ship,2010,113412,118800,350,46
FLEX ENDEAVOUR,LNG Tanker,2018,113049,95803,295,46
SEASPAN THAMES,Container Ship,2014,112967,115304,337,48
GASLOG GENEVA,LNG Tanker,2016,112764,87760,291,46
CMA CGM PELLEAS,Container Ship,2008,111249,120854,350,43
ISH,FSO,1995,110895,71564,293,46
CARNIVAL CONQUEST,Passenger (Cruise) Ship,2002,110475,10000,290,36
GOLDEN SPRAY,Bulk Carrier,2021,109716,210667,300,49
APL MIAMI,Container Ship,2014,109712,115036,328,45
ZIM YANTIAN,Container Ship,2006,109149,107492,351,43
CAPE BROLGA,Bulk Carrier,2021,108697,211982,300,50
MINERAL YANGFAN,Bulk Carrier,2019,108130,206392,300,50
MINERAL HIROSHIGE,Bulk Carrier,2019,107916,208572,300,50
GUANG LI HAI,Bulk Carrier,2017,107844,207241,300,50
GOLDEN COMFORT,Bulk Carrier,2020,107737,208385,300,50
HENRIETTE OLDENDORFF,Bulk Carrier,2016,107700,209067,300,50
LINDA OLDENDORFF,Bulk Carrier,2014,107553,207562,300,50
FRIEDRICH OLDENDORFF,Bulk Carrier,2020,107450,208822,300,50
SAMJOHN DREAM,Bulk Carrier,2012,107198,206610,300,50
FPMC B NATURE,Bulk Carrier,2015,107026,207987,300,50
MATHILDE OLDENDORFF,Bulk Carrier,2013,106847,206080,300,50
CAPE SASANQUA,Bulk Carrier,2011,106413,207860,300,50
BAO GUO,Bulk Carrier,2007,106367,207875,300,50
C.S. BRILLIANCE,Bulk Carrier,2019,105964,208480,300,50
ONE ARCADIA,Container Ship,2011,105644,95660,332,45
NETADOLA,Bulk Carrier,2007,104721,206312,300,50
MARAN GAS DELPHI,LNG Tanker,2014,103928,89670,294,44
COSTA FORTUNA,Passenger (Cruise) Ship,2003,102669,8200,272,36
KOOL CRYSTAL,LNG Tanker,2014,102100,82058,286,43
CAPE KORI,Bulk Carrier,2004,101933,203277,300,50
EVER LISSOME,Container Ship,2014,101063,103891,335,46
ATLANTIC SEA,Container Ship,2016,100430,55738,296,38
EVER LIVELY,Container Ship,2014,99995,103668,335,46
MEIN SCHIFF 3,Passenger (Cruise) Ship,2014,99526,7900,293,42
LNG IMO,LNG Tanker,2008,98798,83688,288,43
AMALI,LNG Tanker,2011,98490,72800,284,43
NYK VENUS,Container Ship,2007,97825,103207,338,46
ENERGOS MARIA,LNG Tanker,2006,97491,84823,277,43
TRAIGUEN,Container Ship,2013,96628,116384,300,48
MSC ELODIE,Container Ship,2015,96333,127360,300,48
CMA CGM JEAN GABRIEL,Container Ship,2018,96223,110200,300,48
MSC ELAINE,Container Ship,2009,95681,98968,340,46
MSC JEONGMIN,Container Ship,2016,95514,110482,300,48
MSC AZOV,Container Ship,2014,95166,112434,300,48
STAR OPHELIA,Bulk Carrier,2010,95047,180716,292,45
GOLAR ARCTIC,LNG Tanker,2003,94934,74894,280,43
SG FOUNDATION,Bulk Carrier,2009,94863,180403,295,46
RAMBO,Bulk Carrier,2003,94779,184872,290,47
EVER DEVOTION,Bulk Carrier,2012,94710,180125,295,46
MILLIE,Bulk Carrier,2009,94710,180311,295,46
COSCOSHIPPING DANUBE,Container Ship,2016,94623,111290,300,48
WANG MAY,Bulk Carrier,2019,94528,180682,292,45
MSC AGADIR,Container Ship,2012,94453,112516,299,48
JUDITH SCHULTE,Container Ship,2013,94402,111861,300,48
MARIPERLA,Bulk Carrier,2009,94232,179759,292,45
DISHA,LNG Tanker,2004,94058,81097,277,43
MARIGO P,Bulk Carrier,2016,94009,179218,292,45
HL GLADSTONE,Bulk Carrier,2011,93872,179851,292,45
VIENNA EXPRESS,Container Ship,2010,93750,103648,335,43
CAPE CORMORANT,Bulk Carrier,2022,93719,181500,292,45
CORCOVADO,Container Ship,2015,93685,116933,300,48
MEYNELL,Bulk Carrier,1997,93629,185767,292,48
GLOVIS ADVANCE,Bulk Carrier,2012,93544,179217,292,45
MAERSK SYDNEY,Container Ship,2005,93511,102861,335,43
HL SALDANHA BAY,Bulk Carrier,2010,93461,179147,292,45
PAROS,Bulk Carrier,2010,93360,182060,292,45
GENCO TIGER,Bulk Carrier,2011,93290,179185,292,45
CAPE KEYSTONE,Bulk Carrier,2011,93227,179250,292,45
WINNING SPIRIT,Bulk Carrier,2011,93175,179213,292,45
SEAUNITY,Bulk Carrier,2010,93074,181360,292,45
TRUE CAPTAIN,Bulk Carrier,2016,92992,180981,292,45
EREIKOUSSA,Bulk Carrier,2012,92865,178896,292,45
LAKE D,Bulk Carrier,2011,92752,181458,292,45
KINOKAWA MARU,Bulk Carrier,2013,92752,181392,292,45
BERGE MAWSON,Bulk Carrier,2015,92732,181160,292,45
THALASSINI NJORD,Bulk Carrier,2016,92696,181218,292,45
NAVIOS CANARY,Bulk Carrier,2015,92379,180528,292,45
GOLDEN BEIJING,Bulk Carrier,2010,92270,175820,292,45
SKAGEN MAERSK,Container Ship,1999,92198,110387,347,43
OOCL UTAH,Container Ship,2015,92111,101279,335,43
CAPE SUN,Bulk Carrier,2010,92050,175611,292,45
CIC ROLACO,Bulk Carrier,2012,91971,175641,292,45
CAPE SANDRA,Bulk Carrier,2011,91910,175607,290,45
MALINDI,Bulk Carrier,2008,91739,177987,292,45
CAPE SHANGHAI,Bulk Carrier,2012,91625,176460,292,45
OOCL TAIPEI,Container Ship,2015,91499,101147,335,43
AFALES,Bulk Carrier,2012,91407,177935,292,45
EDWARD N,Bulk Carrier,2011,91374,176216,292,45
CASTA DIVA,Bulk Carrier,2011,91373,177807,292,45
LILA NINGBO,Bulk Carrier,2002,91178,175775,282,45
COSCO VIETNAM,Container Ship,2011,91051,102875,334,43
BILBAO KNUTSEN,LNG Tanker,2004,90835,77217,284,43
BAO CHANG HAI,Bulk Carrier,1990,90633,173329,290,46
HONORSHIP,Bulk Carrier,2010,90423,180242,289,45
MARAN TRANSPORTER,Bulk Carrier,2010,90136,179719,292,45
MARAN ASTRONOMER,Bulk Carrier,2012,90104,179719,292,45
WINNING LOYALTY,Bulk Carrier,2004,90091,180310,289,45
BRAVE SAILOR,Bulk Carrier,2011,89991,176283,292,45
